time,price,size,brs,title,link,loc
2015-12-28 10:09:00,2199.0,,1.0,No Fee Spacious Beautiful 1bed/1bath H/H Included2199,/brk/abo/5367945431.html,brk
2015-12-28 10:09:00,2095.0,950.0,3.0,New Gut Renovated Spacious 3 Bdrm All Utilities Included,/brk/nfb/5377458049.html,brk
2015-12-28 10:09:00,1900.0,,2.0,Brooklyn 2BR doesnt get any better than this.,/brk/abo/5377375426.html,brk
2015-12-28 10:09:00,2999.0,,3.0,No FeeBrand New Spacious 3bd/1b H/H included 2999,/brk/abo/5365550896.html,brk
2015-12-28 10:08:00,1825.0,,1.0,BRand New 1 Bed on LINCOLN RDProspect Park,/brk/abo/5350758706.html,brk
2015-12-28 10:08:00,2599.0,,2.0,AMAZING 2BR/1BATH HIGH END PRATTUTILITIES INCLUDEDG A C TRAINSREADY,/brk/abo/5377353904.html,brk
2015-12-28 10:08:00,2700.0,,3.0,3 bedroom Kensington  2 Bath Brand new to Market,/brk/abo/5362785991.html,brk
2015-12-28 10:08:00,1650.0,,1.0,Kensington 1 bedroom for rent Affodable and Spacious,/brk/abo/5339780153.html,brk
2015-12-28 10:08:00,2499.0,,2.0,No FeeBrand New Gorgeous 2 Bedroom H/H Included Apartment 2499,/brk/abo/5367930226.html,brk
2015-12-28 10:08:00,1895.0,850.0,2.0,Newly Renovated Spacious 2BR Apt All Utilities Included,/brk/nfb/5377457083.html,brk
2015-12-28 10:08:00,1299.0,,1.0,Great Jr. 1 Bedroom right across from Brooklyn college,/brk/abo/5369410869.html,brk
2015-12-28 10:08:00,2899.0,,3.0,No Fee Beautiful 3bd/1Bath Apt. Amazing Location H/H incl. 2899,/brk/abo/5365587602.html,brk
2015-12-28 10:08:00,3453.0,,2.0,No Fee Beautiful Full Luxury Building with Sauna 3453,/brk/abo/5367900787.html,brk
2015-12-28 10:07:00,1695.0,800.0,2.0,Newly Renovated  Spacious 2 Bdrm All Utilities Included,/brk/nfb/5377455801.html,brk
2015-12-28 10:07:00,3025.0,,3.0,No Fee 3Bd/1Bath Newly Renovated Charming Apartment H/H Incl3025,/brk/abo/5367928898.html,brk
2015-12-28 10:07:00,2499.0,,2.0,No FeeBrand New Gorgeous 2 Bedroom H/H Included Apartment 2499,/brk/abo/5365796400.html,brk
2015-12-28 10:07:00,2799.0,,3.0,Spacious 3 Bedroom Apartment  Newly Renovated H/H Included 2799,/brk/abo/5361004005.html,brk
2015-12-28 10:07:00,2750.0,,2.0,NO FEE Stunning 2 Bedroom 1 Bathroom Apt W/D 2750,/brk/abo/5359732194.html,brk
2015-12-28 10:06:00,2399.0,,2.0,No Fee Bright and Beautiful 2 Bedroom Apt2399,/brk/abo/5359746447.html,brk
2015-12-28 10:06:00,2300.0,,1.0,No Fee Great location H/H Included 2300,/brk/abo/5361001847.html,brk
2015-12-28 10:06:00,3399.0,,4.0,WONT LAST LONG   PERFECT 4BR / 1.5BA   LNDRY  S/S APP  NO FEE,/brk/abo/5358760894.html,brk
2015-12-28 10:06:00,1900.0,,1.0,ACS TRAINS  QUEEN SIZE 1BR  H/H WATER INCL  NO FEE,/brk/abo/5377337249.html,brk
2015-12-28 10:04:00,1999.0,,2.0,BIG BIG BIG BIG BIG APTDont miss outLaundryACYARDROOFNO FEE,/brk/abo/5377353822.html,brk
2015-12-28 10:03:00,1600.0,,1.0,Fabulous 1 Bedroom Apartment Near SUNY Downstate,/brk/abo/5349138669.html,brk
2015-12-28 10:03:00,2999.0,,4.0,By Owner 3Flex 4Bed Apt with 1.5 bathsLaundryCentral ACCondo Windo,/brk/abo/5377373101.html,brk
2015-12-28 10:03:00,3200.0,1600.0,2.0,NO FEES HUGE APT. 1600 sf Just 3 Blocks from Train BUSWICK,/brk/abo/5372361841.html,brk
2015-12-28 10:03:00,2875.0,,2.0,/ GREAT APARTMENT A MUST SEE GREAT LOCATION /,/brk/abo/5374324962.html,brk
2015-12-28 10:03:00,2255.0,,1.0,Bensonhurst / One BDR BEAUTIFUL QUIET PRESSURE FREE SAFE UPDATED,/brk/abo/5377356139.html,brk
2015-12-28 10:03:00,3345.0,,3.0,WoooW  PERFECT 3BR / 2.5BA DUPLEX  TERRACE    MUST SEE ,/brk/abo/5364617656.html,brk
2015-12-28 10:03:00,3500.0,,3.0,AVAILABLE NOW FOR SHORT OR LONG TERM. NEW 3BEDROOMS APARTMENT,/brk/abo/5377346745.html,brk
2015-12-28 10:02:00,2735.0,,2.0,SO GOOD  New HighEnd Development  Amenities  Easy Commute on JMZ,/brk/abo/5377325344.html,brk
2015-12-28 10:02:00,2000.0,,2.0,new luxury building. Its located on one of Bushwicks,/brk/abo/5377328616.html,brk
2015-12-28 10:02:00,3000.0,,3.0,Modern Kitchen Large living room Stainless Steel Appliances,/brk/abo/5377327071.html,brk
2015-12-28 10:01:00,2199.0,,1.0,Quiet Sunny 1 BR In Prime Greenpoint,/brk/fee/5377447512.html,brk
2015-12-28 10:01:00,1850.0,,1.0,NO FEE NEWLY RENOVATED 1 Bedroom Apartment Available Now,/brk/abo/5377349020.html,brk
2015-12-28 10:00:00,3250.0,690.0,1.0,1 bedroom at the Edge in Williamsburg,/brk/abo/5377367141.html,brk
2015-12-28 09:59:00,2585.0,,2.0,OO LOOK OO 1200 square feet 2 bdrm Unit,/brk/abo/5343814442.html,brk
2015-12-28 09:59:00,2750.0,,2.0,East Williamsburg 2br Apartment With Washer and Dryer by the J M.,/brk/abo/5377340405.html,brk
2015-12-28 09:59:00,2750.0,,2.0,Special Rate On A Two BR Unit In Homecrest,/brk/abo/5377323853.html,brk
2015-12-28 09:58:00,2795.0,,2.0,LUXURY 2BR HUGE HIGH END APT BRAND NEWLAUNDRY GYM  MORE,/brk/abo/5377336972.html,brk
2015-12-28 09:58:00,2200.0,,1.0,LARGE UNDER PRICED STUDIO IN PARK SLOPE PROSPECT PARK BACK YARD,/brk/abo/5377360573.html,brk
2015-12-28 09:57:00,2349.0,,2.0,Gorgeous 2 bedrooms  beautiful apt,/brk/abo/5377356917.html,brk
2015-12-28 09:57:00,1495.0,,1.0,Studio Apartment in Beautiful Brownstone Light  Gas Included,/brk/abo/5377350720.html,brk
2015-12-28 09:56:00,3422.0,,2.0,THIS is the APARTMENT of your DREAMS Greenpoint Penthouse AMAZING,/brk/abo/5350670283.html,brk
2015-12-28 09:56:00,2799.0,,1.0,GORGEOUS Brand New 1 Bed/1Bath Convertible to 2 bed PRIVATE outdoor,/brk/abo/5341585623.html,brk
2015-12-28 09:56:00,3499.0,,2.0,Williamsburg 2 Bed with a Washer/Dryer in Unit No Fee MUST SEE,/brk/abo/5350904999.html,brk
2015-12-28 09:56:00,2695.0,,2.0,NICE Two BR  Rehabbed  Walk In Closets  W/D Hook Ups,/brk/abo/5374322082.html,brk
2015-12-28 09:56:00,3999.0,,3.0,Greenpoint 3 bed with HUGE Patio No Fee. Steps from Nassau G.,/brk/abo/5352332539.html,brk
2015-12-28 09:56:00,2395.0,,1.0,Gym in Building Gorgeous 1 Bed Graham L Stop.,/brk/abo/5352227387.html,brk
2015-12-28 09:56:00,4210.0,,2.0,GORGEOUS 3 Bed 1.5 Bath in Williamsburg BRAND NEW,/brk/abo/5349198557.html,brk
2015-12-28 09:56:00,2345.0,,3.0,NO FEE   PERFECT RENOV 3BR  SKYLIGHT   BEST DEAL   HURRY UPPPP,/brk/abo/5364158149.html,brk
2015-12-28 09:56:00,2750.0,,2.0,STOP YOUR SEARCH Wash/ Dryer Brand NEw Building 2 Bed. FAST COMMUTE,/brk/abo/5349391716.html,brk
2015-12-28 09:55:00,3499.0,,2.0,Spacious 2 Bed in Prime Williamsburg NO FEE,/brk/abo/5343545294.html,brk
2015-12-28 09:55:00,2917.0,,1.0,BEAUTIFUL Prime Williamsburg. 1 Bed/1 Bath. WASH/DRYER IN UNI,/brk/abo/5340822846.html,brk
2015-12-28 09:55:00,2933.0,,2.0,Beautiful NO FEE Williamsburg 2 Bed. Washer and Dryer in unit BEAUTY,/brk/abo/5353857367.html,brk
2015-12-28 09:55:00,2750.0,,2.0,Brand Spankin New 2 Beds Myrtle JMZ. GORGEOUS UNITS NO FEE,/brk/abo/5352172815.html,brk
2015-12-28 09:55:00,2850.0,,1.0,Amazing Lorimer L 1 Bed Stunning No Fee. Newly Renovated,/brk/abo/5352183761.html,brk
2015-12-28 09:55:00,3499.0,,3.0,EAST Williamsburg 3 Bed AMAZING 3 Equal rooms NO FEE. Montrose L,/brk/abo/5351287585.html,brk
2015-12-28 09:55:00,3422.0,,2.0,Ridiculously Gorgeous Greenpoint Penthouse Manhattan Views. No Fee,/brk/abo/5351228452.html,brk
2015-12-28 09:55:00,2899.0,,3.0,BIG bedroomsLarge LivingroomDuplexPrivate YardACALL NEWNO FEE,/brk/abo/5377352979.html,brk
2015-12-28 09:55:00,3999.0,,3.0,Greenpoint 3 Bed. Nassau G. Huge Patio No FEE,/brk/abo/5362792609.html,brk
2015-12-28 09:55:00,2395.0,,1.0,Graham L 1 Bed. Elevator Building Tons of Natural light. No Fee,/brk/abo/5359986251.html,brk
2015-12-28 09:55:00,2399.0,,1.0,Williamsburg 1 bed Elevator Building Beautiful layout Stunning,/brk/abo/5362836228.html,brk
2015-12-28 09:55:00,3191.0,,3.0,Have your pick of these GORGEOUS BRAND NEW 3 Beds.NO FEE Myrtle J,/brk/abo/5359530242.html,brk
2015-12-28 09:55:00,2350.0,,1.0,1 Bed in Williamsburg Stunning No Fee. Marcy JMZ,/brk/abo/5365580475.html,brk
2015-12-28 09:55:00,2917.0,,1.0,Williamsburg 1 Bed STUNNING No Fee. DO NOT MISS GORGEOUS,/brk/abo/5355362668.html,brk
2015-12-28 09:55:00,2933.0,,2.0,Stunning 2 Bed Washer/dryer in unit Williamsburg. Beautiful,/brk/abo/5355396978.html,brk
2015-12-28 09:55:00,2000.0,1000.0,3.0,3 Bedroom Dyker Heights Apartment,/brk/abo/5377355721.html,brk
2015-12-28 09:54:00,2799.0,,4.0,Must have good credit and income Guarantors Accepted,/brk/abo/5377345404.html,brk
2015-12-28 09:54:00,2020.0,,1.0, LIVE IN THE Ashford Pointe Apartments  1 BEDS AVAILABLE ,/brk/abo/5377321685.html,brk
2015-12-28 09:54:00,2899.0,,3.0,BIG bedroomsLarge LivingroomDuplexPrivate YardACALL NEWNO FEE,/brk/abo/5377371446.html,brk
2015-12-28 09:53:00,1999.0,,1.0,DITMAS PARK  SPACIOUS 1 Bedroom RENOVATED  DSJ 718 2663700,/brk/fee/5377436344.html,brk
2015-12-28 09:52:00,2899.0,,4.0,This is one of a kindThe BIGGEST apt youve ever seenBACK YARD,/brk/abo/5377354711.html,brk
2015-12-28 09:52:00,2999.0,,3.0,Jefferson L Rooftop  Miles Bar,/brk/abo/5342248460.html,brk
